date,temperature_2m,relative_humidity_2m,wind_speed_10m,cloudcover,shortwave_radiation,precipitation
2021-03-08 00:00:00+00:00,13.808333333333332,83.29166666666667,8.091666666666667,59.833333333333336,177.54166666666666,0.13333333333333333
2021-03-09 00:00:00+00:00,12.908333333333333,78.375,6.916666666666667,38.708333333333336,188.66666666666666,0.25833333333333336
2021-03-10 00:00:00+00:00,12.125,85.75,5.716666666666666,17.291666666666668,210.5,0.016666666666666666
2021-03-11 00:00:00+00:00,12.758333333333333,70.54166666666667,5.75,0.0,236.79166666666666,0.0
2021-03-12 00:00:00+00:00,14.795833333333334,68.75,10.9375,0.7083333333333334,232.875,0.0
2021-03-13 00:00:00+00:00,15.079166666666666,76.29166666666667,8.229166666666666,2.1666666666666665,231.16666666666666,0.0
2021-03-14 00:00:00+00:00,13.758333333333333,78.95833333333333,6.7,28.583333333333332,234.83333333333334,0.0
2021-03-15 00:00:00+00:00,14.116666666666667,86.04166666666667,8.729166666666666,67.83333333333333,218.66666666666666,0.0
2021-03-16 00:00:00+00:00,14.258333333333333,79.45833333333333,14.754166666666668,84.45833333333333,229.875,0.0
2021-03-17 00:00:00+00:00,14.791666666666666,80.33333333333333,14.325000000000001,79.33333333333333,171.5,0.075
2021-03-18 00:00:00+00:00,14.1,85.78260869565217,9.534782608695652,87.17391304347827,182.2173913043478,0.0782608695652174
2021-03-19 00:00:00+00:00,12.987499999999999,82.66666666666667,10.541666666666666,68.75,175.25,0.21666666666666667
2021-03-20 00:00:00+00:00,10.291666666666666,90.91666666666667,17.691666666666666,91.08333333333333,52.541666666666664,1.1708333333333334
2021-03-21 00:00:00+00:00,10.883333333333333,78.41666666666667,11.666666666666666,43.916666666666664,193.75,0.3958333333333333
2021-03-22 00:00:00+00:00,11.645833333333334,61.583333333333336,6.666666666666667,0.08333333333333333,256.4166666666667,0.0
2021-03-23 00:00:00+00:00,13.108333333333334,68.0,5.745833333333334,0.0,257.5,0.0
2021-03-24 00:00:00+00:00,14.233333333333334,70.20833333333333,5.4624999999999995,0.0,259.9583333333333,0.0
2021-03-25 00:00:00+00:00,14.345833333333333,73.45833333333333,5.791666666666667,8.25,260.7083333333333,0.0
2021-03-26 00:00:00+00:00,14.154166666666667,75.45833333333333,4.8500000000000005,48.916666666666664,218.83333333333334,0.0
2021-03-27 00:00:00+00:00,14.8125,79.29166666666667,10.166666666666666,30.208333333333332,253.41666666666666,0.0
2021-03-28 00:00:00+00:00,15.704166666666667,88.75,18.079166666666666,96.125,137.29166666666666,0.05833333333333334
2021-03-29 00:00:00+00:00,15.995833333333332,89.875,15.816666666666668,78.45833333333333,209.29166666666666,0.008333333333333333
2021-03-30 00:00:00+00:00,15.920833333333334,86.95833333333333,12.2875,55.875,245.95833333333334,0.0
2021-03-31 00:00:00+00:00,15.954166666666666,89.16666666666667,18.095833333333335,46.208333333333336,242.625,0.0
2021-04-01 00:00:00+00:00,15.799999999999999,87.70833333333333,10.433333333333334,42.541666666666664,233.66666666666666,0.0
2021-04-02 00:00:00+00:00,16.349999999999998,73.16666666666667,13.541666666666666,22.5,235.45833333333334,0.004166666666666667
2021-04-03 00:00:00+00:00,16.1125,63.958333333333336,11.604166666666666,16.083333333333332,274.2083333333333,0.0
2021-04-04 00:00:00+00:00,15.9625,77.20833333333333,8.875,21.083333333333332,248.75,0.0
2021-04-05 00:00:00+00:00,15.43913043478261,85.3913043478261,6.626086956521739,47.52173913043478,271.95652173913044,0.0
2021-04-06 00:00:00+00:00,15.85,78.33333333333333,4.854166666666667,85.41666666666667,268.2083333333333,0.0
2021-04-07 00:00:00+00:00,16.150000000000002,81.16666666666667,11.595833333333333,72.625,216.125,0.0375
2021-04-08 00:00:00+00:00,15.041666666666666,84.25,20.504166666666666,99.29166666666667,135.0,0.13333333333333333
2021-04-09 00:00:00+00:00,15.345833333333333,89.45833333333333,12.320833333333333,99.875,137.75,0.225
2021-04-10 00:00:00+00:00,16.508333333333333,89.66666666666667,5.8625,88.20833333333333,203.91666666666666,0.45416666666666666
2021-04-11 00:00:00+00:00,16.691666666666666,77.54166666666667,6.308333333333334,49.208333333333336,244.20833333333334,0.0
2021-04-12 00:00:00+00:00,16.375,82.79166666666667,10.816666666666668,76.20833333333333,238.33333333333334,0.004166666666666667
2021-04-13 00:00:00+00:00,16.491666666666667,85.16666666666667,14.333333333333334,99.25,149.04166666666666,0.0375
2021-04-14 00:00:00+00:00,15.766666666666666,86.95833333333333,15.137500000000001,99.66666666666667,120.45833333333333,0.3333333333333333
2021-04-15 00:00:00+00:00,13.9,93.79166666666667,13.808333333333332,100.0,48.083333333333336,1.425
2021-04-16 00:00:00+00:00,13.916666666666666,86.75,10.508333333333333,64.875,161.54166666666666,0.12916666666666668
2021-04-17 00:00:00+00:00,14.683333333333332,77.83333333333333,3.8666666666666667,7.166666666666667,288.9583333333333,0.008333333333333333
2021-04-18 00:00:00+00:00,16.152173913043477,77.0,5.378260869565217,41.608695652173914,298.4347826086956,0.0
2021-04-19 00:00:00+00:00,16.075,80.54166666666667,3.9916666666666667,49.291666666666664,280.125,0.0
2021-04-20 00:00:00+00:00,16.920833333333334,67.375,9.325000000000001,30.958333333333332,293.875,0.0
2021-04-21 00:00:00+00:00,17.099999999999998,68.29166666666667,11.554166666666667,63.083333333333336,285.8333333333333,0.0
2021-04-22 00:00:00+00:00,17.191666666666666,78.79166666666667,8.129166666666666,81.91666666666667,221.625,0.016666666666666666
2021-04-23 00:00:00+00:00,16.675,86.08333333333333,17.354166666666668,91.54166666666667,261.0833333333333,0.008333333333333333
2021-04-24 00:00:00+00:00,16.724999999999998,86.375,19.516666666666666,99.0,139.58333333333334,0.1125
2021-04-25 00:00:00+00:00,17.083333333333332,88.25,10.8375,93.75,166.66666666666666,0.31666666666666665
2021-04-26 00:00:00+00:00,17.412499999999998,81.04166666666667,5.629166666666666,22.5,265.2916666666667,0.10833333333333334
2021-04-27 00:00:00+00:00,18.658333333333335,73.41666666666667,7.308333333333334,27.208333333333332,247.66666666666666,0.05833333333333333
2021-04-28 00:00:00+00:00,17.295833333333334,79.625,9.0125,48.208333333333336,218.79166666666666,0.0
