date,temperature_2m,relative_humidity_2m,wind_speed_10m,cloudcover,shortwave_radiation,precipitation
2015-05-01 00:00:00+00:00,13.308333333333332,79.375,10.891666666666666,0.8333333333333334,331.25,0.0
2015-05-02 00:00:00+00:00,13.220833333333333,79.41666666666667,19.087500000000002,12.958333333333334,331.7916666666667,0.0
2015-05-03 00:00:00+00:00,13.491666666666667,77.95833333333333,18.6875,69.58333333333333,313.6666666666667,0.0
2015-05-04 00:00:00+00:00,13.754166666666668,83.79166666666667,21.920833333333334,35.166666666666664,303.3333333333333,0.0
2015-05-05 00:00:00+00:00,12.808333333333332,74.54166666666667,15.658333333333333,30.958333333333332,298.625,0.0
2015-05-06 00:00:00+00:00,12.862499999999999,81.83333333333333,9.7125,23.416666666666668,310.875,0.0
2015-05-07 00:00:00+00:00,13.908333333333333,78.08333333333333,21.212500000000002,1.0,326.125,0.0
2015-05-08 00:00:00+00:00,14.341666666666667,70.875,22.53333333333333,0.25,341.8333333333333,0.0
2015-05-09 00:00:00+00:00,14.633333333333333,72.875,15.520833333333334,0.375,339.625,0.0
2015-05-10 00:00:00+00:00,14.345833333333333,77.66666666666667,19.041666666666668,0.4583333333333333,339.7083333333333,0.0
2015-05-11 00:00:00+00:00,14.658333333333333,77.875,17.525000000000002,36.583333333333336,325.2083333333333,0.0
2015-05-12 00:00:00+00:00,14.3375,81.75,34.57083333333333,84.79166666666667,273.0,0.0
2015-05-13 00:00:00+00:00,14.469565217391304,81.08695652173913,35.21304347826087,67.26086956521739,328.4347826086956,0.0
2015-05-14 00:00:00+00:00,15.575000000000001,70.125,34.6625,97.33333333333333,303.875,0.0
2015-05-15 00:00:00+00:00,15.8375,68.20833333333333,22.3625,87.91666666666667,312.0833333333333,0.0
2015-05-16 00:00:00+00:00,15.604166666666666,71.16666666666667,21.233333333333334,46.375,316.375,0.0
2015-05-17 00:00:00+00:00,14.383333333333333,76.95833333333333,25.983333333333334,1.5833333333333333,337.0416666666667,0.0
2015-05-18 00:00:00+00:00,13.383333333333333,76.66666666666667,29.208333333333332,58.5,302.5,0.0
2015-05-19 00:00:00+00:00,13.533333333333333,75.58333333333333,33.0375,9.375,310.6666666666667,0.0
2015-05-20 00:00:00+00:00,12.695833333333333,69.5,35.84583333333333,66.41666666666667,318.7083333333333,0.0
2015-05-21 00:00:00+00:00,12.5,69.45833333333333,37.483333333333334,25.583333333333332,326.4166666666667,0.0
2015-05-22 00:00:00+00:00,12.441666666666668,69.20833333333333,38.266666666666666,26.125,312.375,0.0
2015-05-23 00:00:00+00:00,12.229166666666666,67.875,34.74583333333333,21.708333333333332,324.7916666666667,0.0
2015-05-24 00:00:00+00:00,12.179166666666667,66.875,32.69166666666667,15.791666666666666,332.0,0.0
2015-05-25 00:00:00+00:00,11.195833333333333,71.70833333333333,21.566666666666666,21.666666666666668,317.2916666666667,0.0
2015-05-26 00:00:00+00:00,11.200000000000001,71.29166666666667,17.375,16.666666666666668,310.9583333333333,0.0
2015-05-27 00:00:00+00:00,11.445833333333333,71.95833333333333,20.345833333333335,5.833333333333333,325.4166666666667,0.0
2015-05-28 00:00:00+00:00,11.75,73.04166666666667,19.0,19.041666666666668,329.2916666666667,0.0
2015-05-29 00:00:00+00:00,12.691666666666668,76.08333333333333,16.462500000000002,4.791666666666667,331.8333333333333,0.0
2015-05-30 00:00:00+00:00,12.941666666666668,73.29166666666667,25.191666666666666,1.4583333333333333,344.7916666666667,0.0
2015-05-31 00:00:00+00:00,13.230434782608697,72.82608695652173,28.317391304347826,3.5652173913043477,358.5217391304348,0.0
2015-06-01 00:00:00+00:00,12.979166666666666,71.16666666666667,32.65,11.666666666666666,324.125,0.0
2015-06-02 00:00:00+00:00,13.674999999999999,75.33333333333333,32.225,10.583333333333334,331.4583333333333,0.0
2015-06-03 00:00:00+00:00,13.799999999999999,75.66666666666667,25.425,5.166666666666667,334.4166666666667,0.0
2015-06-04 00:00:00+00:00,13.15,76.04166666666667,22.208333333333332,3.2083333333333335,337.0,0.0
2015-06-05 00:00:00+00:00,12.6875,77.33333333333333,28.575,11.0,310.4583333333333,0.0
2015-06-06 00:00:00+00:00,12.825000000000001,81.08333333333333,25.275000000000002,30.25,315.8333333333333,0.0
2015-06-07 00:00:00+00:00,13.845833333333333,84.25,23.71666666666667,15.541666666666666,333.0416666666667,0.0
2015-06-08 00:00:00+00:00,14.108333333333334,80.95833333333333,15.541666666666666,33.958333333333336,331.2083333333333,0.0
2015-06-09 00:00:00+00:00,13.737499999999999,79.5,12.008333333333333,54.125,306.9583333333333,0.0
2015-06-10 00:00:00+00:00,13.216666666666667,71.45833333333333,16.166666666666668,63.958333333333336,319.75,0.0
2015-06-11 00:00:00+00:00,12.220833333333333,66.41666666666667,11.174999999999999,38.833333333333336,334.5,0.0
2015-06-12 00:00:00+00:00,12.5375,76.75,10.104166666666666,41.708333333333336,301.3333333333333,0.0
2015-06-13 00:00:00+00:00,12.583333333333334,75.04166666666667,16.070833333333333,24.708333333333332,322.5416666666667,0.0
2015-06-14 00:00:00+00:00,12.183333333333332,68.75,24.666666666666668,9.916666666666666,337.3333333333333,0.0
2015-06-15 00:00:00+00:00,12.433333333333332,64.29166666666667,19.070833333333333,8.166666666666666,327.1666666666667,0.0
2015-06-16 00:00:00+00:00,13.7875,68.125,20.158333333333335,12.875,324.8333333333333,0.0
2015-06-17 00:00:00+00:00,14.279166666666667,69.45833333333333,21.070833333333333,4.958333333333333,333.3333333333333,0.0
